groups,groups,groups,groups,,symm,symm,symm,symm,symm,symm,,vector,vector,vector,vector,,tensor,tensor,tensor,tensor,tensor,tensor
,,,,,Has P,Has T,Has PT,Has P*R,Has T*R,Has PT*R,,Polar,Ferro- magnetic,Ferro- rotational,Ferro- toroidal,,Piezomag,Nat Optical Activ,Gyro birefring,Ordinary Hall,Spont Hall,Spont Ettings- hausen
,,,Jahn symbol,,,,,,,,,V,aeV,eV,aV,,ae[V2]V,{V2}V,a[V2]V,e{V2}V,a{V2},aV2
Number,Name,Order,Type,,,,,R = simple proper rot,,,,,,,,,& Lin mag- resistance,,,& Ordinary Faraday,& Spont Faraday,
1.1.1,1,1,Colorless,,0,0,0,0,0,0,,3,3,3,3,,18,9,18,9,3,9
1.2.2,1',2,Grey,,0,1,0,0,1,0,,3,0,3,0,,0,9,0,9,0,0
2.1.3,-1,2,Colorless,,1,0,0,1,0,0,,0,3,3,0,,18,0,0,9,3,9
2.2.4,-11',4,Grey,,1,1,1,1,1,1,,0,0,3,0,,0,0,0,9,0,0
2.3.5,-1',2,Black-White,,0,0,1,0,0,1,,0,0,3,3,,0,0,18,9,0,0
3.1.6,2,2,Colorless,,0,0,0,0,0,0,,1,1,1,1,,8,5,8,5,1,5
3.2.7,21',4,Grey,,0,1,0,0,1,0,,1,0,1,0,,0,5,0,5,0,0
3.3.8,2',2,Black-White,,0,0,0,0,1,0,,1,2,1,2,,10,5,10,5,2,4
4.1.9,m,2,Colorless,,0,0,0,1,0,0,,2,1,1,2,,8,4,10,5,1,5
4.2.10,m1',4,Grey,,0,1,0,1,1,1,,2,0,1,0,,0,4,0,5,0,0
4.3.11,m',2,Black-White,,0,0,0,0,0,1,,2,2,1,1,,10,4,8,5,2,4
5.1.12,2/m,4,Colorless,,1,0,0,1,0,0,,0,1,1,0,,8,0,0,5,1,5
5.2.13,2/m1',8,Grey,,1,1,1,1,1,1,,0,0,1,0,,0,0,0,5,0,0
5.3.14,2'/m,4,Black-White,,0,0,1,1,1,1,,0,0,1,2,,0,0,10,5,0,0
5.4.15,2/m',4,Black-White,,0,0,1,0,0,1,,0,0,1,1,,0,0,8,5,0,0
5.5.16,2'/m',4,Black-White,,1,0,0,1,1,1,,0,2,1,0,,10,0,0,5,2,4
6.1.17,222,4,Colorless,,0,0,0,0,0,0,,0,0,0,0,,3,3,3,3,0,3
6.2.18,2221',8,Grey,,0,1,0,0,1,0,,0,0,0,0,,0,3,0,3,0,0
6.3.19,2'2'2,4,Black-White,,0,0,0,0,1,0,,0,1,0,1,,5,3,5,3,1,2
7.1.20,mm2,4,Colorless,,0,0,0,1,0,0,,1,0,0,1,,3,2,5,3,0,3
7.2.21,mm21',8,Grey,,0,1,0,1,1,1,,1,0,0,0,,0,2,0,3,0,0
7.3.22,m'm2',4,Black-White,,0,0,0,1,1,1,,1,1,0,1,,5,2,5,3,1,2
7.4.23,m'm'2,4,Black-White,,0,0,0,0,0,1,,1,1,0,0,,5,2,3,3,1,2
8.1.24,mmm,8,Colorless,,1,0,0,1,0,0,,0,0,0,0,,3,0,0,3,0,3
8.2.25,mmm1',16,Grey,,1,1,1,1,1,1,,0,0,0,0,,0,0,0,3,0,0
8.3.26,m'mm,8,Black-White,,0,0,1,1,1,1,,0,0,0,1,,0,0,5,3,0,0
8.4.27,m'm'm,8,Black-White,,1,0,0,1,1,1,,0,1,0,0,,5,0,0,3,1,2
8.5.28,m'm'm',8,Black-White,,0,0,1,0,0,1,,0,0,0,0,,0,0,3,3,0,0
9.1.29,4,4,Colorless,,0,0,0,0,0,0,,1,1,1,1,,4,3,4,3,1,3
9.2.30,41',8,Grey,,0,1,0,0,1,0,,1,0,1,0,,0,3,0,3,0,0
9.3.31,4',4,Black-White,,0,0,0,0,1,0,,1,0,1,0,,4,3,4,3,0,2
10.1.32,-4,4,Colorless,,0,0,0,1,0,0,,0,1,1,0,,4,2,4,3,1,3
10.2.33,-41',8,Grey,,0,1,0,1,1,1,,0,0,1,0,,0,2,0,3,0,0
10.3.34,-4',4,Black-White,,0,0,0,0,0,1,,0,0,1,1,,4,2,4,3,0,2
11.1.35,4/m,8,Colorless,,1,0,0,1,0,0,,0,1,1,0,,4,0,0,3,1,3
11.2.36,4/m1',16,Grey,,1,1,1,1,1,1,,0,0,1,0,,0,0,0,3,0,0
11.3.37,4'/m,8,Black-White,,1,0,0,1,1,1,,0,0,1,0,,4,0,0,3,0,2
11.4.38,4/m',8,Black-White,,0,0,1,0,0,1,,0,0,1,1,,0,0,4,3,0,0
11.5.39,4'/m',8,Black-White,,0,0,1,1,1,1,,0,0,1,0,,0,0,4,3,0,0
12.1.40,422,8,Colorless,,0,0,0,0,0,0,,0,0,0,0,,1,2,1,2,0,2
12.2.41,4221',16,Grey,,0,1,0,0,1,0,,0,0,0,0,,0,2,0,2,0,0
12.3.42,4'22',8,Black-White,,0,0,0,0,1,0,,0,0,0,0,,2,2,2,2,0,1
12.4.43,42'2',8,Black-White,,0,0,0,0,1,0,,0,1,0,1,,3,2,3,2,1,1
13.1.44,4mm,8,Colorless,,0,0,0,1,0,0,,1,0,0,1,,1,1,3,2,0,2
13.2.45,4mm1',16,Grey,,0,1,0,1,1,1,,1,0,0,0,,0,1,0,2,0,0
13.3.46,4'm'm,8,Black-White,,0,0,0,1,1,1,,1,0,0,0,,2,1,2,2,0,1
13.4.47,4m'm',8,Black-White,,0,0,0,0,0,1,,1,1,0,0,,3,1,1,2,1,1
14.1.48,-42m,8,Colorless,,0,0,0,1,0,0,,0,0,0,0,,1,1,2,2,0,2
14.2.49,-42m1',16,Grey,,0,1,0,1,1,1,,0,0,0,0,,0,1,0,2,0,0
14.3.50,-4'2'm,8,Black-White,,0,0,0,1,1,1,,0,0,0,1,,2,1,3,2,0,1
14.4.51,-4'2m',8,Black-White,,0,0,0,0,0,1,,0,0,0,0,,2,1,1,2,0,1
14.5.52,-42'm',8,Black-White,,0,0,0,1,1,1,,0,1,0,0,,3,1,2,2,1,1
15.1.53,4/mmm,16,Colorless,,1,0,0,1,0,0,,0,0,0,0,,1,0,0,2,0,2
15.2.54,4/mmm1',32,Grey,,1,1,1,1,1,1,,0,0,0,0,,0,0,0,2,0,0
